x-coordinate,y-coordinate,status,x_diff_1,x_diff_2,x_diff_inv_1,x_diff_inv_2,x_div_1,x_div_2,y_diff_1,y_diff_2,y_diff_inv_1,y_diff_inv_2,y_div_1,y_div_2,direction_1,direction_2,direction_diff_1,direction_diff_2,direction_inv_1,direction_inv_2,direction_diff_inv_1,direction_diff_inv_2
612,123,1,-2,3,6,10,-0.333333333,0.3,5,17,-7,-9,-0.714285714,-1.888888889,111.8014095,79.9920202,44.42127443,6.49638158,310.6012946,318.0127875,18.79988516,14.32271998
618,116,0,-6,-8,4,11,-1.5,-0.727272727,7,12,-2,-9,-3.5,-1.333333333,130.6012946,123.6900675,18.79988516,43.69804733,333.4349488,320.7105931,22.83365418,2.697805633
622,114,0,-4,-10,7,14,-0.571428571,-0.714285714,2,9,-7,-11,-0.285714286,-0.818181818,153.4349488,138.0127875,22.83365418,14.32271998,315,321.8427734,-18.43494882,1.132180275
629,107,0,-7,-11,7,12,-1,-0.916666667,7,9,-4,-9,-1.75,-1,135,140.7105931,-18.43494882,2.697805633,330.2551187,323.1301024,15.2551187,1.287328942
636,103,0,-7,-14,5,11,-1.4,-1.272727273,4,11,-5,-5,-0.8,-2.2,150.2551187,141.8427734,15.2551187,1.132180275,315,335.5560452,-15.2551187,12.42594287
641,98,0,-5,-12,6,12,-0.833333333,-1,5,9,0,-1,5E+15,-9,135,143.1301024,-15.2551187,1.287328942,0,355.2363583,-315,19.68031309
647,98,0,-6,-11,6,12,-1,-0.916666667,0,5,-1,-1,0,-5,180,155.5560452,45,12.42594287,350.5376778,355.2363583,350.5376778,0
653,97,0,-6,-12,6,12,-1,-1,1,1,0,-1,1E+15,-1,170.5376778,175.2363583,-9.462322208,19.68031309,0,355.2363583,-350.5376778,0
659,97,0,-6,-12,6,13,-1,-0.923076923,0,1,-1,1,0,1,180,175.2363583,9.462322208,0,350.5376778,4.398705355,350.5376778,-350.837653
665,96,0,-6,-12,7,12,-0.857142857,-1,1,1,2,2,0.5,0.5,170.5376778,175.2363583,-9.462322208,0,15.9453959,9.462322208,-334.5922819,5.063616853
672,98,0,-7,-13,5,12,-1.4,-1.083333333,-2,-1,0,3,-2E+15,-0.333333333,195.9453959,184.3987054,25.40771811,9.162347046,0,14.03624347,-15.9453959,4.57392126
677,98,0,-5,-12,7,12,-0.714285714,-1,0,-2,3,5,0,-0.4,180,189.4623222,-15.9453959,5.063616853,23.19859051,22.61986495,23.19859051,8.58362148
684,101,0,-7,-12,5,12,-1.4,-1,-3,-3,2,7,-1.5,-0.428571429,203.1985905,194.0362435,23.19859051,4.57392126,21.80140949,30.25643716,-1.397181027,7.636572215
689,103,0,-5,-12,7,14,-0.714285714,-0.857142857,-2,-5,5,10,-0.4,-0.5,201.8014095,202.6198649,-1.397181027,8.58362148,35.53767779,35.53767779,13.73626831,5.281240628
696,108,0,-7,-12,7,15,-1,-0.8,-5,-7,5,8,-1,-0.875,215.5376778,210.2564372,13.73626831,7.636572215,35.53767779,28.07248694,0,-7.465190856
703,113,0,-7,-14,8,12,-0.875,-1.166666667,-5,-10,3,11,-1.666666667,-0.909090909,215.5376778,215.5376778,0,5.281240628,20.55604522,42.51044708,-14.98163257,14.43796014
711,116,0,-8,-15,4,13,-2,-1.153846154,-3,-8,8,14,-0.375,-0.571428571,200.5560452,208.0724869,-14.98163257,-7.465190856,63.43494882,47.1210964,42.8789036,4.610649319
715,124,0,-4,-12,9,15,-0.444444444,-0.8,-8,-11,6,14,-1.333333333,-0.785714286,243.4349488,222.5104471,42.8789036,14.43796014,33.69006753,43.02506599,-29.7448813,-4.096030408
724,130,0,-9,-13,6,16,-1.5,-0.8125,-6,-14,8,20,-0.75,-0.7,213.6900675,227.1210964,-29.7448813,4.610649319,53.13010235,51.34019175,19.44003483,8.315125757
730,138,0,-6,-15,10,15,-0.6,-1,-8,-14,12,20,-0.666666667,-0.7,233.1301024,223.025066,19.44003483,-4.096030408,50.19442891,53.13010235,-2.935673446,1.789910608
740,150,0,-10,-16,5,12,-2,-1.333333333,-12,-20,8,18,-1.5,-1.111111111,230.1944289,231.3401917,-2.935673446,8.315125757,57.99461679,56.30993247,7.800187884,3.17983012
745,158,0,-5,-15,7,14,-0.714285714,-1.071428571,-8,-20,10,20,-0.8,-1,237.9946168,233.1301024,7.800187884,1.789910608,55.0079798,55.0079798,-2.98663699,-1.301952673
752,168,0,-7,-12,7,14,-1,-0.857142857,-10,-18,10,26,-1,-0.692307692,235.0079798,236.3099325,-2.98663699,3.17983012,55.0079798,61.69924423,0,6.691264433
759,178,0,-7,-14,7,16,-1,-0.875,-10,-20,16,29,-0.625,-0.689655172,235.0079798,235.0079798,0,-1.301952673,66.37062227,61.11341823,11.36264247,-0.585826001
766,194,0,-7,-14,9,15,-0.777777778,-0.933333333,-16,-26,13,28,-1.230769231,-0.928571429,246.3706223,241.6992442,11.36264247,6.691264433,55.30484647,61.82140989,-11.0657758,0.707991657
775,207,0,-9,-16,6,13,-1.5,-1.230769231,-13,-29,15,31,-0.866666667,-0.935483871,235.3048465,241.1134182,-11.0657758,-0.585826001,68.19859051,67.24902366,12.89374404,5.427613767
781,222,0,-6,-15,7,17,-0.857142857,-0.882352941,-15,-28,16,35,-0.9375,-0.8,248.1985905,241.8214099,12.89374404,0.707991657,66.37062227,64.093492,-1.827968244,-3.155531657
788,238,0,-7,-13,10,17,-0.7,-0.764705882,-16,-31,19,38,-0.842105263,-0.815789474,246.3706223,247.2490237,-1.827968244,5.427613767,62.2414594,65.8977655,-4.12916287,1.804273498
798,257,0,-10,-17,7,14,-1.428571429,-1.214285714,-19,-35,19,39,-1,-0.897435897,242.2414594,244.093492,-4.12916287,-3.155531657,69.77514057,70.25316339,7.53368117,4.355397896
805,276,0,-7,-17,7,16,-1,-1.0625,-19,-38,20,41,-0.95,-0.926829268,249.7751406,245.8977655,7.53368117,1.804273498,70.70995378,68.68208772,0.934813212,-1.57107567
812,296,0,-7,-14,9,16,-0.777777778,-0.875,-20,-39,21,45,-0.952380952,-0.866666667,250.7099538,250.2531634,0.934813212,4.355397896,66.80140949,70.42687417,-3.908544294,1.744786445
821,317,0,-9,-16,7,16,-1.285714286,-1,-21,-41,24,47,-0.875,-0.872340426,246.8014095,248.6820877,-3.908544294,-1.57107567,73.73979529,71.20011484,6.938385805,0.773240672
828,341,0,-7,-16,9,15,-0.777777778,-1.066666667,-24,-45,23,50,-1.043478261,-0.9,253.7397953,250.4268742,6.938385805,1.744786445,68.62937773,73.30075577,-5.110417561,2.100640925
837,364,0,-9,-16,6,11,-1.5,-1.454545455,-23,-47,27,29,-0.851851852,-1.620689655,248.6293777,251.2001148,-5.110417561,0.773240672,77.47119229,69.22774532,8.84181456,-4.073010448
843,391,0,-6,-15,5,10,-1.2,-1.5,-27,-50,2,-10,-13.5,5,257.4711923,253.3007558,8.84181456,2.100640925,21.80140949,315,-55.6697828,245.7722547
848,393,2,-5,-11,5,10,-1,-1.1,-2,-29,-12,-19,0.166666667,1.526315789,201.8014095,249.2277453,-55.6697828,-4.073010448,292.6198649,297.7585406,270.8184555,-17.2414594
853,381,0,-5,-10,5,8,-1,-1.25,12,10,-7,-13,-1.714285714,-0.769230769,112.6198649,135,-89.18154454,-114.2277453,305.5376778,301.6075022,12.91781284,3.848961645
858,374,0,-5,-10,3,10,-1.666666667,-1,7,19,-6,-12,-1.166666667,-1.583333333,125.5376778,117.7585406,12.91781284,-17.2414594,296.5650512,309.8055711,-8.972626615,8.198068846
861,368,0,-3,-8,7,11,-0.428571429,-0.727272727,6,13,-6,-11,-1,-1.181818182,116.5650512,121.6075022,-8.972626615,3.848961645,319.3987054,315,22.83365418,5.194428908
868,362,0,-7,-10,4,14,-1.75,-0.714285714,6,12,-5,-12,-1.2,-1,139.3987054,129.8055711,22.83365418,8.198068846,308.6598083,319.3987054,-10.7388971,4.398705355
872,357,0,-4,-11,10,14,-0.4,-0.785714286,5,11,-7,-9,-0.714285714,-1.222222222,128.6598083,135,-10.7388971,5.194428908,325.0079798,327.2647737,16.34817155,7.866068373
882,350,0,-10,-14,4,10,-2.5,-1.4,7,12,-2,-1,-3.5,-12,145.0079798,139.3987054,16.34817155,4.398705355,333.4349488,354.2894069,8.426969021,27.02463313
886,348,0,-4,-14,6,9,-0.666666667,-1.555555556,2,9,1,1,2,9,153.4349488,147.2647737,8.426969021,7.866068373,9.462322208,6.340191746,-323.9726266,-347.9492151
892,349,0,-6,-10,3,7,-2,-1.428571429,-1,1,0,1,-1E+15,1,189.4623222,174.2894069,36.02737339,27.02463313,0,8.130102354,-9.462322208,1.789910608
895,349,0,-3,-9,4,10,-0.75,-0.9,0,-1,1,5,0,-0.2,180,186.3401917,-9.462322208,12.05078488,14.03624347,26.56505118,14.03624347,18.43494882
899,350,0,-4,-7,6,10,-0.666666667,-0.7,-1,-1,4,6,-0.25,-0.166666667,194.0362435,188.1301024,14.03624347,1.789910608,33.69006753,30.96375653,19.65382406,4.398705355
905,354,0,-6,-10,4,-17,-1.5,0.588235294,-4,-5,2,-32,-2,0.15625,213.6900675,206.5650512,19.65382406,18.43494882,26.56505118,242.0205256,-7.125016349,211.0567691
909,356,1,-4,-10,-21,-35,0.19047619,0.285714286,-2,-6,-34,-55,0.058823529,0.109090909,206.5650512,210.9637565,-7.125016349,4.398705355,238.2985703,237.5288077,211.7335192,-4.491717902
888,322,1,21,17,-14,-30,-1.5,-0.566666667,34,32,-21,-43,-1.619047619,-0.744186047,58.29857033,62.02052561,-148.2664808,-148.9432309,236.3099325,235.0975044,-1.988637856,-2.431303325
874,301,0,14,35,-16,-26,-0.875,-1.346153846,21,55,-22,-36,-0.954545455,-1.527777778,56.30993247,57.52880771,-1.988637856,-4.491717902,233.9726266,234.162347,-2.337305859,-0.935157338
858,279,0,16,30,-10,-19,-1.6,-1.578947368,22,43,-14,-26,-1.571428571,-1.653846154,53.97262661,55.09750438,-2.337305859,-2.431303325,234.4623222,233.8418146,0.489695593,-0.320532486
848,265,0,10,26,-9,-14,-1.111111111,-1.857142857,14,36,-12,-21,-1.166666667,-1.714285714,54.46232221,54.16234705,0.489695593,-0.935157338,233.1301024,236.3099325,-1.332219854,2.468117914
839,253,0,9,19,-5,-14,-1.8,-1.357142857,12,26,-9,-18,-1.333333333,-1.444444444,53.13010235,53.84181456,-1.332219854,-0.320532486,240.9453959,232.1250163,7.815293547,-4.184916125
834,244,0,5,14,-9,-17,-0.555555556,-0.823529412,9,21,-9,-15,-1,-1.4,60.9453959,56.30993247,7.815293547,2.468117914,225,221.4236656,-15.9453959,-10.70135072
825,235,0,9,14,-8,-12,-1.125,-1.166666667,9,18,-6,-7,-1.5,-2.571428571,45,52.12501635,-15.9453959,-4.184916125,216.8698976,210.2564372,-8.130102354,-11.16722846
817,229,0,8,17,-4,-11,-2,-1.545454545,6,15,-1,-5,-6,-3,36.86989765,41.42366563,-8.130102354,-10.70135072,194.0362435,204.4439548,-22.83365418,-5.812482383
813,228,0,4,12,-7,-10,-0.571428571,-1.2,1,7,-4,-4,-0.25,-1.75,14.03624347,30.25643716,-22.83365418,-11.16722846,209.7448813,201.8014095,15.70863783,-2.642545294
806,224,0,7,11,-3,-7,-2.333333333,-1.571428571,4,5,0,0,4E+15,5E+15,29.7448813,24.44395478,15.70863783,-5.812482383,180,180,-29.7448813,-21.80140949
803,224,0,3,10,-4,-9,-0.75,-1.111111111,0,4,0,-17,0,-0.235294118,0,21.80140949,-29.7448813,-2.642545294,180,242.102729,0,62.10272897
799,224,2,4,7,-5,-6,-0.8,-1.166666667,0,0,-17,-33,0,0,0,0,0,-21.80140949,253.6104597,259.6951535,73.61045967,17.59242456
794,207,0,5,9,-1,-4,-5,-2.25,17,17,-16,-29,-1.0625,-0.586206897,73.61045967,62.10272897,73.61045967,62.10272897,266.4236656,262.1466867,12.81320596,2.451533167
793,191,0,1,6,-3,-5,-0.333333333,-1.2,16,33,-13,-23,-1.230769231,-1.434782609,86.42366563,79.69515353,12.81320596,17.59242456,257.0053832,257.7352263,-9.418282417,-4.411460426
790,178,0,3,4,-2,-6,-1.5,-0.666666667,13,29,-10,-20,-1.3,-1.45,77.00538321,82.1466867,-9.418282417,2.451533167,258.6900675,253.3007558,1.684684318,-4.434470506
788,168,0,2,5,-4,-6,-0.5,-0.833333333,10,23,-10,-18,-1,-1.277777778,78.69006753,77.73522627,1.684684318,-4.411460426,248.1985905,251.5650512,-10.49147701,-1.735704589
784,158,0,4,6,-2,-3,-2,-2,10,20,-8,-16,-1.25,-1.25,68.19859051,73.30075577,-10.49147701,-4.434470506,255.9637565,259.3803447,7.765166018,7.815293547
782,150,0,2,6,-1,-2,-2,-3,8,18,-8,-12,-1,-1.5,75.96375653,71.56505118,7.765166018,-1.735704589,262.8749837,260.5376778,6.911227119,1.157333068
781,142,0,1,3,-1,-3,-1,-1,8,16,-4,-9,-2,-1.777777778,82.87498365,79.38034472,6.911227119,7.815293547,255.9637565,251.5650512,-6.911227119,-8.972626615
780,138,0,1,2,-2,-4,-0.5,-0.5,4,12,-5,-9,-0.8,-1.333333333,75.96375653,80.53767779,-6.911227119,1.157333068,248.1985905,246.037511,-7.765166018,-5.527540152
778,133,0,2,3,-2,-3,-1,-1,5,9,-4,-4,-1.25,-2.25,68.19859051,71.56505118,-7.765166018,-8.972626615,243.4349488,233.1301024,-4.763641691,-12.90740867
776,129,0,2,4,-1,-3,-2,-1.333333333,4,9,0,-3,4E+15,-3,63.43494882,66.03751103,-4.763641691,-5.527540152,180,225,-63.43494882,-8.130102354
775,129,0,1,3,-2,-4,-0.5,-0.75,0,4,-3,-3,0,-1.333333333,0,53.13010235,-63.43494882,-12.90740867,236.3099325,216.8698976,56.30993247,-8.130102354
773,126,0,2,3,-2,-5,-1,-0.6,3,3,0,1,3E+15,3,56.30993247,45,56.30993247,-8.130102354,180,168.6900675,-56.30993247,-48.17983012
771,126,0,2,4,-3,-2,-0.666666667,-2,0,3,1,1,0,3,0,36.86989765,-56.30993247,-8.130102354,161.5650512,153.4349488,-18.43494882,-15.2551187
768,127,0,3,5,1,-2,3,-2.5,-1,-1,0,1,-1E+15,-1,341.5650512,348.6900675,341.5650512,311.8201699,0,153.4349488,-161.5650512,0
769,127,0,-1,2,-3,-4,0.333333333,-0.5,0,-1,1,5,0,-0.2,180,333.4349488,-161.5650512,-15.2551187,161.5650512,128.6598083,161.5650512,-24.77514057
766,128,0,3,2,-1,-2,-3,-1,-1,-1,4,8,-0.25,-0.125,341.5650512,333.4349488,161.5650512,0,104.0362435,104.0362435,-57.52880771,-24.62356479
765,132,0,1,4,-1,-4,-1,-1,-4,-5,4,-6,-1,0.833333333,284.0362435,308.6598083,-57.52880771,-24.77514057,104.0362435,236.3099325,0,132.273689
764,136,2,1,2,-3,-6,-0.333333333,-0.333333333,-4,-8,-10,-17,0.4,0.470588235,284.0362435,284.0362435,0,-24.62356479,253.3007558,250.5599652,149.2645123,14.2500327
761,126,0,3,4,-3,-3,-1,-1.333333333,10,6,-7,-14,-1.428571429,-0.428571429,73.30075577,56.30993247,-210.7354877,-227.726311,246.8014095,257.9052429,-6.49934628,7.345277751
758,119,0,3,6,0,0,3E+15,6E+15,7,17,-7,-15,-1,-1.133333333,66.80140949,70.55996517,-6.49934628,14.2500327,270,270,23.19859051,12.09475708
758,112,0,0,3,0,-1,0,-3,7,14,-8,-11,-0.875,-1.272727273,90,77.90524292,23.19859051,7.345277751,270,264.8055711,0,-5.194428908
758,104,0,0,0,-1,-3,0,0,8,15,-3,-8,-2.666666667,-1.875,90,90,0,12.09475708,251.5650512,249.4439548,-18.43494882,-15.36161631
757,101,0,1,1,-2,-1,-0.5,-1,3,11,-5,-9,-0.6,-1.222222222,71.56505118,84.80557109,-18.43494882,-5.194428908,248.1985905,263.6598083,-3.366460663,14.21585347
